country,alc,years
Afghanistan,0,61.25205
Albania,4.8796275,74.13
Algeria,0.6920199,71.82955
Andorra,12.3321495,82.65301
Angola,5.6603679,51.74093
Antigua and Barbuda,4.8796275,75.378
Argentina,7.7896599,76.31537
Armenia,3.7440051,71.02699
Australia,9.6705345,82.58784
Austria,9.6705345,81.31606
Azerbaijan,1.2775752,72.4111
Bahamas,7.9316127,75.52535
Bahrain,1.9873392,77.24355
Bangladesh,0,70.71071
Barbados,6.2459232,78.14867
Belarus,9.8834637,71.80493
Belgium,10.4867631,80.48828
Belize,6.8314785,75.23206
Benin,0.9049491,58.839
Bhutan,0.4081143,68.38161
Bolivia (Plurinational State of),3.8327256,67.5944
Bosnia and Herzegovina,4.5602337,77.27174
Botswana,4.3118163,64.15195
Brazil,7.2041046,75.17133
Brunei Darussalam,0.6032994,77.19981
Bulgaria,10.2383457,74.51299
Burkina Faso,0.6920199,58.56517
Burundi,1.5614808,56.20937
Cabo Verde,3.8327256,74.76584
Cambodia,2.1825243,72.61407
Cameroon,2.6971032,56.57552
Canada,8.1977742,81.97529
Central African Republic,0.354882,51.43201
Chad,0.3016497,51.7094
Chile,7.5589866,80.05825
China,4.9506039,75.48225
Colombia,4.2230958,78.06821
Comoros,0.0887205,61.86594
Congo,1.5259926,58.92405
Cook Islands,5.8200648,75.82879
Costa Rica,4.3827927,79.31783
Croatia,10.1318811,78.15862
Cuba,4.1698635,78.29336
Cyprus,8.1445419,81.88437
Czech Republic,11.7998265,78.23041
C̫te d'Ivoire,0.7984845,53.17685
Democratic People's Republic of Korea,0,69.93345
Democratic Republic of the Congo,0.6387876,52.17266
Denmark,13.3613073,79.90733
Djibouti,1.1001342,61.75758
Dominica,6.4588524,74.82867
Dominican Republic,6.1926909,73.69259
Ecuador,4.2408399,75.74088
Egypt,0.1951851,71.34473
El Salvador,2.1825243,72.56444
Equatorial Guinea,5.7668325,55.93278
Eritrea,0.3193938,63.85941
Estonia,8.4639357,76.89989
Ethiopia,0.4081143,64.67994
Fiji,2.0050833,69.56511
Finland,8.7478413,80.78438
France,11.4981768,82.01347
Gabon,8.9430264,63.65686
Gambia,0.1596969,61.22207
Georgia,5.3409741,74.43595
Germany,11.3207358,80.94221
Ghana,0.7807404,62.80416
Greece,8.2155183,81.26017
Grenada,11.7998265,73.27039
Guatemala,2.2002684,71.96651
Guinea,0.1951851,58.31797
Guinea_Bissau,1.419528,53.89736
Guyana,7.0266636,63.53513
Haiti,5.8200648,62.75648
Honduras,2.9987529,74.44133
Hungary,11.2497594,75.21944
Iceland,6.6008052,82.43079
India,2.1825243,66.39526
Indonesia,0.1064646,70.76871
Iran (Islamic Republic of),0,74.26825
Iraq,0.2129292,70.36568
Ireland,10.5754836,81.31725
Israel,2.5019181,82.4614
Italy,6.4588524,82.86323
Jamaica,3.3358908,74.43981
Japan,5.2345095,83.73987
Jordan,0.4968348,73.86859
Kazakhstan,6.7782462,67.95763
Kenya,1.4550162,61.49628
Kiribati,0.9936696,66.80363
Kuwait,0,78.38586
Kyrgyzstan,2.3777094,69.41342
Lao People's Democratic Republic,3.2826585,66.36477
Latvia,9.9189519,74.1265
Lebanon,1.8808746,79.87961
Lesotho,1.9695951,50.36242
Liberia,3.0697293,62.02602
Libya,0,75.33909
Lithuania,11.4094563,74.30048
Luxembourg,11.356224,82.16427
Madagascar,0.7984845,64.39765
Malawi,0.354882,59.58976
Malaysia,0.3016497,74.05213
Maldives,0,77.66563
Mali,0.1242087,57.22025
Malta,6.5475729,80.63323
Marshall Islands,0,70.39505
Mauritania,0,63.18605
Mauritius,2.6083827,74.13084
Mexico,5.5184151,75.37576
Micronesia (Federated States of),2.306733,69.12877
Monaco,0,82.15714
Mongolia,4.8618834,67.70721
Montenegro,4.8441393,75.93555
Morocco,0.4968348,70.97952
Mozambique,1.242087,54.18395
Myanmar,0.1064646,65.95232
Namibia,6.742758,68.10928
Nauru,1.0114137,78.87914
Nepal,0.1951851,68.47222
Netherlands,9.3866289,81.37485
New Zealand,8.1090537,82.08273
Nicaragua,3.4955877,73.64848
Niger,0.1064646,59.29464
Nigeria,0.8694609,54.54945
Niue,7.0089195,74.59361
Norway,6.5475729,81.75625
Oman,0.6920199,76.13046
Pakistan,0,65.57568
Palau,6.9556872,73.06908
Panama,7.2218487,77.34814
Papua New Guinea,1.4905044,62.36177
Paraguay,7.1686164,74.72476
Peru,6.1039704,77.38308
Philippines,4.5779778,68.83433
Poland,10.8948774,76.85128
Portugal,10.64646,80.95487
Qatar,0.887205,79.35993
Republic of Korea,2.9277765,81.61579
Republic of Moldova,6.2636673,70.46939
Romania,10.3980426,74.38423
Russian Federation,11.4626886,69.29092
Rwanda,0.7984845,65.47727
Saint Kitts and Nevis,7.6477071,74.16277
Saint Lucia,9.8834637,75.18542
Saint Vincent and the Grenadines,6.2459232,73.90679
Samoa,2.6083827,73.44813
San Marino,0,83.0731
Sao Tome and Principe,4.1521194,67.01282
Saudi Arabia,0.0887205,75.72633
Senegal,0.3016497,64.49203
Serbia,9.5995581,74.69285
Seychelles,4.1343753,73.83582
Sierra Leone,0.532323,45.98883
Singapore,1.4727603,82.87928
Slovakia,10.7351805,76.28677
Slovenia,10.5932277,80.39226
Solomon Islands,1.2065988,68.72803
Somalia,0,54.42672
South Africa,6.7782462,60.4067
Spain,9.8124873,82.6227
Sri Lanka,2.129292,74.99951
Sudan,0.3726261,63.04385
Suriname,5.5539033,77.19422
Swaziland,1.6679454,53.11098
Sweden,7.0621518,81.80135
Switzerland,10.0254165,83.13744
Syrian Arab Republic,0.9936696,75.65637
Tajikistan,0.3016497,68.58981
Thailand,6.3523878,75.00789
The former Yugoslav republic of Macedonia,3.00762495,75.71539
Timor_Leste,0.1064646,66.89677
Togo,1.0114137,58.42831
Tonga,1.1001342,71.48373
Trinidad and Tobago,6.387876,70.53188
Tunisia,1.3130634,76.07588
Turkey,1.419528,75.38882
Turkmenistan,2.1647802,63.57362
Tuvalu,0.9936696,67.98926
Uganda,0.9581814,58.54477
Ukraine,8.6591208,70.85694
United Arab Emirates,2.7680796,76.63969
United Kingdom of Great Britain and Northern Ireland,9.581814,81.00252
United Republic of Tanzania,0.7629963,62.68134
United States of America,8.7123531,78.7946
Uruguay,6.565317,77.43123
Uzbekistan,2.3777094,69.20962
Vanuatu,0.887205,72.2857
Venezuela (Bolivarian Republic of),7.7364276,75.92431
Viet Nam,2.0228274,75.68709
Yemen,0.1064646,64.25762
Zambia,0.9759255,58.4628
Zimbabwe,1.5259926,58.72677
